id,name,iata,longitude,latitude
1,Manhattan,Manhattan_5,-73.98338733,40.72626539
2,Brooklyn,Brooklyn_2,-74.00112779,40.65197269
3,Staten Island,Staten_Island_2,-74.16620714,40.60683461
4,Brooklyn,Brooklyn_7,-73.98213317,40.58064722
5,Queens,Queens_15,-73.91438154,40.77002321
6,Manhattan,Manhattan_18,-73.95103617,40.80462409
7,Manhattan,Manhattan_2,-73.99714595,40.71641499
8,Bronx,Bronx_2,-73.88777584,40.81344706
9,Queens,Queens_14,-73.78140204,40.66104389
10,Manhattan,Manhattan_4,-73.98394562,40.7154386
11,Staten Island,Staten_Island_1,-74.09642244,40.62527017
12,Queens,Queens_3,-73.84161079,40.69638104
13,Bronx,Bronx_11,-73.90046484,40.89245022
14,Queens,Queens_11,-73.85980461,40.74367929
15,Brooklyn,Brooklyn_5,-73.87739083,40.66442617
16,Brooklyn,Brooklyn_21,-73.97037205,40.69273298
17,Brooklyn,Brooklyn_1,-73.94692561,40.66280012
18,Brooklyn,Brooklyn_11,-73.98326777,40.63122775
19,Queens,Queens_7,-73.83273771,40.66926289
20,Queens,Queens_13,-73.8497444,40.72245312
21,Brooklyn,Brooklyn_4,-73.91094406,40.66816181
22,Manhattan,Manhattan_7,-74.00168798,40.75053874
23,Queens,Queens_6,-73.73684515,40.70008722
24,Manhattan,Manhattan_19,-73.94955811,40.82607932
25,Brooklyn,Brooklyn_15,-74.00321671,40.67924397
26,Manhattan,Manhattan_11,-73.98169684,40.77939053
27,Queens,Queens_2,-73.76332247,40.60044418
28,Manhattan,Manhattan_16,-73.93040596,40.79664779
29,Brooklyn,Brooklyn_8,-73.94913343,40.59425159
30,Manhattan,Manhattan_22,-73.92708302,40.86207717
31,Manhattan,Manhattan_8,-73.98443922,40.73804006
32,Manhattan,Manhattan_1,-74.01206947,40.70978924
33,Queens,Queens_1,-73.85334313,40.58480551
34,Manhattan,Manhattan_10,-73.97112551,40.75127736
35,Manhattan,Manhattan_21,-73.94045526,40.84108032
36,Bronx,Bronx_5,-73.8876233,40.849877
37,Bronx,Bronx_7,-73.81679739,40.84884581
38,Bronx,Bronx_10,-73.85372729,40.85609293
39,Brooklyn,Brooklyn_10,-73.91000824,40.60766318
40,Queens,Queens_12,-73.75922493,40.75669189
41,Manhattan,Manhattan_17,-73.95890074,40.81198433
42,Staten Island,Staten_Island_3,-74.11591602,40.57553706
43,Brooklyn,Brooklyn_18,-73.92931716,40.68565666
44,Queens,Queens_8,-73.79737263,40.72615068
45,Bronx,Bronx_8,-73.90957378,40.85274739
46,Bronx,Bronx_4,-73.86152228,40.8247403
47,Manhattan,Manhattan_20,-73.94067199,40.81926624
48,Brooklyn,Brooklyn_17,-73.9769143,40.66935158
49,Brooklyn,Brooklyn_23,-73.94772924,40.72507355
50,Brooklyn,Brooklyn_3,-73.94918461,40.68924222
51,Queens,Queens_5,-73.89053162,40.71079814
52,Brooklyn,Brooklyn_19,-73.9168407,40.69455472
53,Bronx,Bronx_12,-73.88634903,40.86636771
54,Brooklyn,Brooklyn_22,-73.94662884,40.70868568
55,Queens,Queens_16,-73.87621675,40.76260669
56,Bronx,Bronx_6,-73.92079818,40.83380528
57,Brooklyn,Brooklyn_16,-73.94490511,40.6740235
58,Bronx,Bronx_3,-73.8986401,40.83255501
59,Queens,Queens_9,-73.92301648,40.74048802
60,Manhattan,Manhattan_13,-73.95652002,40.77278741
61,Bronx,Bronx_9,-73.85232388,40.88693601
62,Bronx,Bronx_1,-73.91646928,40.81090923
63,Manhattan,Manhattan_15,-73.97007366,40.79561213
64,Queens,Queens_4,-73.78603783,40.70367532
65,Brooklyn,Brooklyn_13,-73.89205986,40.63459856
66,Brooklyn,Brooklyn_14,-73.95911931,40.63184938
67,Manhattan,Manhattan_9,-73.98713822,40.75203431
68,Brooklyn,Brooklyn_12,-74.02345869,40.62325805
69,Manhattan,Manhattan_12,-73.98500434,40.76329703
70,Queens,Queens_10,-73.81560354,40.77165336
71,Manhattan,Manhattan_3,-74.0023814,40.73366189
72,Brooklyn,Brooklyn_20,-73.98890043,40.69482045
73,Brooklyn,Brooklyn_6,-73.93381412,40.64805306
74,Manhattan,Manhattan_14,-73.94453595,40.7911915
75,Manhattan,Manhattan_6,-73.96555534,40.78247566
76,Brooklyn,Brooklyn_9,-73.99363596,40.60722178
77,New Jersey,New Jersey,-74.4041622,40.0757384
78,Westchester County,Westchester County,-73.7907554,41.1763139
79,Nassau County,Nassau County,-73.5877699,40.7412643
80,Suffolk County,Suffolk County,-72.8578027,40.8832318
81,Rockland County,Rockland County,-74.0357266,41.1519319
82,Orange County,Orange County,-117.8704931,33.7500378
83,Connecticut,Connecticut,-72.7342163,41.6500201
84,California,California,-118.7559974,36.7014631
85,Staten Island,Staten_Island_4,-74.228978,40.514511
